Destination Center City,Cincinnati,Alliance,Leipzig,Hyderabad,SanBernardino
Paris,1.6,N/A,0.5,1.1,N/A
Cologne,1.5,N/A,0.5,1,N/A
Hanover,1.5,N/A,0.5,1,N/A
Bengaluru,N/A,N/A,1.5,0.5,N/A
Coimbatore,N/A,N/A,1.5,0.5,N/A
Delhi,N/A,N/A,1.5,0.5,N/A
Mumbai,N/A,N/A,1.5,0.5,N/A
Cagliari,1.5,N/A,0.5,1,N/A
Catania,1.5,N/A,0.5,1,N/A
Milan,1.5,N/A,0.5,1,N/A
Rome,1.5,N/A,0.5,1.1,N/A
Katowice,1.4,N/A,0.5,1,N/A
Barcelona,1.5,N/A,0.5,1,N/A
Madrid,1.6,N/A,0.5,1.1,N/A
Castle Donington,1.4,N/A,0.5,N/A,N/A
London,1.6,N/A,0.75,1.1,N/A
Mobile,0.5,0.5,N/A,N/A,0.5
Anchorage,1.3,1,N/A,N/A,0.7
Fairbanks,1.4,1,N/A,N/A,0.7
Phoenix,0.5,0.5,N/A,N/A,0.5
Los Angeles,0.5,0.5,N/A,N/A,N/A
Ontario,0.5,0.5,N/A,N/A,N/A
Riverside,0.5,0.5,N/A,N/A,N/A
Sacramento,0.5,0.5,N/A,N/A,0.5
San Francisco,0.5,0.5,N/A,N/A,0.5
Stockton,0.5,0.5,N/A,N/A,0.5
Denver,0.5,0.5,N/A,N/A,0.5
Hartford,0.5,0.5,1.5,N/A,0.5
Miami,0.5,0.5,N/A,N/A,0.7
Lakeland,0.5,0.5,N/A,N/A,0.7
Tampa,0.5,0.5,N/A,N/A,0.7
Atlanta,0.5,0.5,N/A,N/A,0.6
Honolulu,N/A,0.5,N/A,N/A,0.5
Kahului/Maui,N/A,0.5,N/A,N/A,0.5
Kona,N/A,0.5,N/A,N/A,0.5
Chicago,0.5,0.5,N/A,N/A,0.5
Chicago/Rockford,0.5,0.5,N/A,N/A,0.5
Fort Wayne,0.5,0.5,N/A,N/A,0.5
South Bend,0.5,0.5,N/A,N/A,0.5
Des Moines,0.5,0.5,N/A,N/A,0.5
Wichita,0.5,0.5,N/A,N/A,0.5
New Orleans,0.5,0.5,N/A,N/A,0.5
Baltimore,0.5,0.5,1.5,N/A,0.7
Minneapolis,0.5,0.5,N/A,N/A,0.5
Kansas City,0.5,0.5,N/A,N/A,0.5
St. Louis,0.5,0.5,N/A,N/A,0.5
Omaha,0.5,0.5,N/A,N/A,0.5
Manchester,0.5,0.5,1.5,N/A,0.7
Albuquerque,0.5,0.5,N/A,N/A,0.5
New York,0.5,0.5,1.6,N/A,0.7
Charlotte,0.5,0.5,N/A,N/A,0.7
Toledo,0.5,0.5,N/A,N/A,0.5
Wilmington,0.5,0.5,N/A,N/A,0.7
Portland,0.5,0.5,N/A,N/A,0.5
Allentown,0.5,0.5,1.5,N/A,0.7
Pittsburgh,0.5,0.5,N/A,N/A,0.6
San Juan,0.5,0.5,N/A,N/A,1
Nashville,0.5,0.5,N/A,N/A,0.5
Austin,0.5,0.25,N/A,N/A,0.5
Dallas/Fort Worth,0.5,N/A,N/A,N/A,0.5
Houston,0.5,0.25,N/A,N/A,0.5
San Antonio,0.5,0.25,N/A,N/A,0.5
Richmond,0.5,0.5,N/A,N/A,0.7
Seattle/Tacoma,0.5,0.5,N/A,N/A,0.5
Spokane,0.5,0.5,N/A,N/A,0.5

